,业绩比较基准,基准对应的基金数目
917,深证成份指数收益率*95%+银行活期存款利率*5%,2
163,中证500指数收益率*90%+中证全债指数收益率*5%+活期存款利率*5%,2
51,上证380指数收益率*95%+银行活期存款利率(税后)*5%,2
161,中证500指数收益率*85%+商业银行活期存款利率(税后)*15%,2
160,中证500指数收益率*85%+中证综合债券指数收益率*15%,2
853,沪深300指数收益率*90%+中证综合债券指数收益率*10%,2
854,沪深300指数收益率*90%+中证综合债指数收益率*10%,2
157,中证500指数收益率*80%+中证港股通综合指数收益率*10%+中证综合债指数收益率*10%,2
855,沪深300指数收益率*90%+人民币活期存款利率(税后)*10%,2
312,中证健康产业指数收益率*80%+中证综合债指数收益率*20%,2
856,沪深300指数收益率*90%+商业银行活期存款利率(税后)*10%,2
857,沪深300指数收益率*90%+银行同业存款收益率*10%,2
858,沪深300指数收益率*90%+银行活期存款利率(税后)*10%,2
52,上证50AH优选指数收益率*95%+银行活期存款利率(税后)*5%,2
149,中证500信息技术指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
859,"沪深300指数收益率*95%+1%(指年收益率,评价时应按期间折算)",2
56,上证50指数收益率*95%+一年期人民币定期存款利率(税后)*5%,2
146,中证360互联网+大数据100指数*95%+商业银行活期存款利率(税后)*5%,2
223,中证800指数收益率*80%+中债综合财富指数收益率*20%,2
35,MSCI中国A股消费指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
226,中证800指数收益率*80%+中证综合债券指数收益率*20%,2
797,沪深300指数收益率*45%+恒生指数收益率*45%+同业存款利率(税后)*10%,2
286,中证主要消费红利指数收益率*95%+银行活期存款利率(税收)*5%,2
791,沪深300指数*95%+银行活期存款收益率(税后)*5%,2
792,沪深300指数增长率*95%+银行活期存款利率(税后)*5%,2
281,中证主要消费指数收益率*40%+中证医疗指数收益率*30%+中证养老产业指数收益率*15%+中债综合指数收益率*15%,2
794,沪深300指数收益率*35%+恒生指数收益率(使用估值汇率折算)*35%+中证综合债券指数收益率*30%,2
278,中证中金优选300指数收益率*95%+银行活期存款利率(税后)*5%,2
277,中证中财沪深100ESG领先指数收益率*75%+上证国债指数收益率*15%+中证港股通综合指数(人民币)收益率*10%,2
276,中证中药指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
796,沪深300指数收益率*45%+恒生指数收益率*45%+中证全债指数收益率*10%,2
272,中证中信稳健成长策略指数收益率*90%+上证国债指数收益率*10%,2
789,沪深300指数*95%+同期银行活期存款利率*5%,2
7,MSCI中国A股国际价值指数收益率*95%+银行活期存款利率(税后)*5%,2
271,中证东方红竞争力指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
8,MSCI中国A股国际低波动指数收益率*95%+银行活期存款利率(税后)*5%,2
893,深证100价格指数收益率*95%+活期存款利率(税后)*5%,2
892,深证100价格指数收益率*95%+商业银行活期存款利率(税后)*5%,2
75,上证消费80指数收益率*95%+商业银行活期存款利率(税后)*5%,2
803,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,2
265,中证万得生物科技指数收益率*95%+活期存款利率(税后)*5%,2
10,MSCI中国A股国际指数(MSCI China A International Index)收益率*95%+银行人民币活期存款利率(税后)*5%,2
288,中证主要消费行业指数收益率*35%+中证可选消费行业指数收益率*35%+恒生指数收益率*15%+中证综合债券指数收益率*15%,2
290,中证互联网医疗主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
938,经人民币汇率调整的恒生中国(香港上市)25指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
942,经估值汇率调整的恒生指数收益率*95%+人民币活期存款利率(税后)*5%,2
311,中证健康产业指数收益率*75%+中债综合全价(总值)指数收益率*15%+恒生指数收益率*10%,2
781,沪深300指数*80%+中债综合指数*20%,2
2,MSCI中国A股人民币指数(MSCI China A RMBIndex)收益率*95%+银行活期存款利率(税后)*5%,2
307,中证传媒指数收益率*95%+银行活期存款利率(税后)*5%,2
306,中证传媒指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
4,MSCI中国A股人民币指数收益率*95%+活期存款利率(税后)*5%,2
303,中证传媒指数收益率,2
302,中证价值回报量化策略指数收益率*95%+同期银行人民币活期存款利率(税后)*5%,2
301,中证人工智能产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
900,深证100指数收益率*95%+商业银行活期存款利率(税后)*5%,2
291,中证互联网指数收益率*80%+中证全债指数收益率*20%,2
786,沪深300指数*90%+同业存款利率(税后)*10%,2
299,中证人工智能主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
298,中证人工智能主题指数收益率*95%+人民币活期存款利率(税后)*5%,2
901,深证100指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
297,中证人工智能主题指数收益率*60%+恒生综合指数收益率*25%+中证综合债券指数收益率*15%,2
894,深证100价格指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
295,中证京津冀协同发展主题指数收益率*95%+银行活期存款利率(税后)*5%,2
294,中证京津冀协同发展主题指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
788,沪深300指数*95%+同业存款利率*5%,2
227,中证800指数收益率*80%+中证综合债指数收益率*20%,2
112,中国战略新兴产业成份指数收益率*60%+中证港股通综合指数收益率*25%+中债总指数收益率*15%,2
814,沪深300指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,2
23,MSCI中国A股国际通指数收益率*95%+人民币活期存款利率(税后)*5%,2
815,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,2
888,沪深300非银行金融指数收益率*95%+活期存款利率(税后)*5%,2
807,沪深300指数收益率*60%+恒生指数收益率*20%+中债总指数(全价)收益率*20%,2
817,沪深300指数收益率*70%+恒生综合指数收益率*20%+中债综合财富(总值)指数收益率*10%,2
823,沪深300指数收益率*75%+恒生指数收益率*15%+中债综合指数收益率*10%,2
28,MSCI中国A股指数(人民币)收益率*95%+银行活期存款利率(税后)*5%,2
245,中证800指数收益率*95%+银行活期存款利率(税后)*5%,2
244,中证800指数收益率*95%+活期存款利率(税后)*5%,2
822,沪深300指数收益率*75%+中证综合债券指数收益率*15%+恒生指数收益率*10%,2
243,中证800指数收益率*95%+同期银行活期存款利率(税后)*5%,2
819,沪深300指数收益率*75%+中债综合指数收益率*15%+恒生指数收益率*10%,2
241,中证800指数收益率*90%+银行活期存款利率(税后)*10%,2
240,中证800指数收益率*90%+活期存款利率*10%,2
29,MSCI中国A股指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,2
30,MSCI中国A股指数收益率*80%+中债综合全价指数收益率*20%,2
239,中证800指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+银行活期存款利率(税后)*5%,2
820,沪深300指数收益率*75%+中证全债指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,2
95,中信中药生产指数收益率*85%+银行人民币活期存款利率(税后)*15%,2
821,沪深300指数收益率*75%+中证港股通综合指数(人民币)收益率*15%+商业银行活期存款利率(税后)*10%,2
258,中证TMT产业主题指数收益率*80%+中证港股通TMT主题投资指数收益率(人民币)*20%,2
257,中证TMT产业主题指数收益率*80%+中债总财富(总值)指数收益率*20%,2
232,中证800指数收益率*85%+中证综合债指数收益率*15%,2
937,粤港澳大湾区创新100指数收益率*95%+银行活期存款利率(税后)*5%,2
16,MSCI中国A股国际红利指数收益率*95%+银行活期存款利率(税后)*5%,2
935,粤港澳大湾区创新100指数收益率*95%+人民币活期存款利率(税后)*5%,2
18,MSCI中国A股国际质量指数收益率*95%+银行活期存款利率(税后)*5%,2
22,MSCI中国A股国际通指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,2
810,沪深300指数收益率*65%+中证全债指数收益率*20%+人民币计价的恒生指数收益率*15%,2
255,中证TMT产业主题指数收益率*70%+中证港股通TMT主题指数收益率*15%+上证国债指数收益率*15%,2
254,中证TMT产业主题指数收益率*65%+恒生指数收益率*20%+中证综合债券指数收益率*15%,2
934,粤港澳大湾区创新100指数收益率,2
20,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,2
813,沪深300指数收益率*70%+中债综合指数收益率*20%+中证港股通综合指数收益率*10%,2
13,MSCI中国A股国际指数收益率(经汇率调整)*95%+商业银行活期存款利率(税后)*5%,2
669,中证香港证券投资主题指数收益率(使用估值汇率折算),1
908,深证300指数收益率*95%+银行活期存款利率(税后)*5%,1
907,深证300指数收益率*95%+商业银行活期存款利率(税后)*5%,1
667,中证香港中小企业投资主题指数收益率*95%+银行活期存款利率(税后)*5%,1
674,中证高端装备制造指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,1
673,中证高端制造主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
906,深证300指数,1
905,深证300价格指数收益率*95%+银行活期存款利率(税后)*5%,1
909,深证TMT50指数,1
911,深证基本面120指数,1
903,深证300价值价格指数,1
904,深证300价值价格指数收益率*95%+银行活期存款收益率(税后)*5%,1
663,中证食品饮料指数收益率*75%+恒生必需性消费业指数收益率(按估值汇率调整)*15%+中债总指数收益率*10%,1
913,深证基本面60指数收益率,1
780,沪深300指数*80%+上证国债指数*20%,1
661,中证长三角领先指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
930,申银万国医药生物行业指数收益率*70%+恒生综合指数收益率*20%+中证综合债券指数收益率*10%,1
632,中证转型成长指数收益率*95%+银行活期存款利率(税后)*5%,1
941,经估值汇率调整的恒生中国企业指数收益率,1
633,中证软件服务指数收益率,1
635,中证酒指数收益率,1
940,经人民币汇率调整的恒生香港35指数收益率*95%+人民币银行活期存款利率(税后)*5%,1
636,中证酒指数收益率*95%+商业银行活期存款利率(税后)*5%,1
637,中证金融地产指数,1
638,中证金融地产指数收益率,1
939,经人民币汇率调整的恒生港股通指数收益率*95%+银行活期存款利率(税后)*5%,1
641,中证钢铁指数收益率,1
933,粤港澳大湾区创新100指数,1
932,申银万国医药生物行业指数收益率*85%+中债总指数收益率*15%,1
644,中证银行指数,1
931,申银万国医药生物行业指数收益率*80%+上证国债指数收益率*20%,1
648,中证银行指数收益率*95%+商业银行活期存款利率(税后)*5%,1
660,中证长三角领先指数收益率,1
929,申银万国制造业指数收益率*80%+中债综合指数收益率*20%,1
928,申银万国制造业指数收益率*80%+上证国债指数收益率*20%,1
927,申万医药生物行业指数收益率*80%+中证全债指数收益率*15%+中证港股通医药卫生综合指数收益率*5%,1
926,申万医药生物行业指数收益率*80%+中债综合指数收益率*20%,1
924,申万制造业指数收益率*85%+上证国债指数收益率*15%,1
653,中证锐联基本面400指数收益率*95%+商业银行人民币活期存款利率(税后)*5%,1
654,中证锐联基本面400指数收益率*95%+银行活期存款利率(税后)*5%,1
655,中证锐联基本面50指数收益率,1
921,深证红利价格指数,1
920,深证成长40价格指数*95%+银行活期存款利率(税后)*5%,1
919,深证成长40价格指数,1
657,中证锐联沪港深基本面100指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
918,深证成指增长率*95%+银行同业存款利率*5%,1
658,中证长三角一体化发展主题指数收益率,1
899,深证100指数收益率,1
714,国证医药卫生行业指数收益率*95%+银行活期存款利率(税后)*5%,1
678,中证高股息精选指数收益率,1
731,国证食品饮料行业指数收益率,1
812,沪深300指数收益率*65%+恒生综合指数收益率*20%+中债综合指数收益率*15%,1
758,恒生沪深港通大湾区综合指数收益率*95%+人民币银行活期存款利率(税后)*5%,1
757,恒生沪深港通大湾区综合指数收益率,1
816,沪深300指数收益率*70%+恒生指数收益率*20%(人民币计价)+中债综合财富指数收益率*10%,1
755,恒生指数收益率*65%+中债综合全价(总值)指数收益率*20%+沪深300指数收益率*15%,1
818,沪深300指数收益率*75%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%,1
753,恒生指数收益率(使用估值汇率折算)*85%+银行活期存款利率(税后)*15%,1
752,恒生指数(使用估值汇率调整),1
750,恒生中国企业指数收益率(使用估值汇率折算)*85%+银行人民币活期存款利率(税后)*15%,1
749,恒生中国企业指数收益率(估值汇率调整),1
746,巨潮小盘价值指数收益率*95%+银行活期存款利率(税后)*5%,1
824,沪深300指数收益率*80%+上证国债指数*20%,1
745,巨潮小盘价值指数,1
826,沪深300指数收益率*80%+中债国债总指数收益率*20%,1
827,沪深300指数收益率*80%+中债总指数(全价)收益率*20%,1
740,富时中国A200指数收益率*90%+同业存款利率*10%,1
829,沪深300指数收益率*80%+中债综合全价(总值)指数收益率*20%,1
736,央视财经50指数收益率,1
732,国证食品饮料行业指数收益率*95%+银行活期存款利率(税后)*5%,1
811,沪深300指数收益率*65%+恒生指数收益率(经人民币汇率折算)*20%+中债综合全价(总值)指数收益率*15%,1
809,沪深300指数收益率*65%+中债综合指数收益率*20%+恒生综合指数收益率*15%,1
761,恒生港股通高股息低波动指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
800,沪深300指数收益率*50%+恒生指数收益率*40%+中债综合财富指数收益率*10%,1
783,沪深300指数*80%+中证国债指数*15%+同业存款利率*5%,1
784,沪深300指数*90%+上证国债指数*10%,1
777,沪深300安中动态策略指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
776,沪深300地产等权重指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
774,沪深300医药卫生指数,1
773,沪深300价值指数收益率*95%+银行活期存款收益率(税后)*5%,1
769,标普中国A股质量价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,1
799,沪深300指数收益率*50%+恒生指数收益率*40%+上证国债指数收益率*10%,1
801,沪深300指数收益率*55%+恒生指数收益率(使用估值汇率折算)*30%+中债综合全价指数收益率*15%,1
762,恒生综合指数收益率*90%+同期人民币活期存款利率*10%,1
802,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中证综合债指数收益率*20%,1
804,沪深300指数收益率*60%+人民币计价的恒生综合指数收益率*20%+中证全债指数收益率*20%,1
766,标普中国A股大盘红利低波50指数收益率,1
805,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价(总值)指数收益率*20%,1
765,标普中国A股低波红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,1
806,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,1
808,沪深300指数收益率*60%+恒生综合指数收益率*20%+中证综合债指数收益率*20%,1
763,恒生综合指数收益率*95%+同期银行活期存款利率(税后)*5%,1
843,沪深300指数收益率*85%+中证国债指数收益率*15%,1
730,国证钢铁行业指数收益率*95%+商业银行活期存款利率(税后)*5%,1
679,中证高股息精选指数收益率*75%+中债总指数收益率*15%+恒生高股息率指数收益率*10%,1
729,国证钢铁行业指数收益率*95%+同期银行活期存款利率(税后)*5%,1
879,沪深300红利低波动指数收益率,1
881,沪深300红利指数,1
882,沪深300行业中性低波动指数收益率,1
691,创业板低波蓝筹指数收益率,1
883,沪深300运输指数收益率*80%+中债综合财富(总值)指数收益率*20%,1
689,创业板50指数收益率*95%+同期银行活期存款利率(税后)*5%,1
884,沪深300金融地产指数,1
687,创业板50指数收益率,1
885,沪深300金融地产指数收益率*95%+银行活期存款利率(税后)*5%,1
886,沪深300非周期行业指数收益率*95%+活期存款利率(税后)*5%,1
887,沪深300非银行金融指数,1
684,中证高铁产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
683,中证高铁产业指数收益率*95%+商业银行活期存款利率(税后)*5%,1
681,中证高股息龙头指数收益率,1
889,沪深300高贝塔指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
890,深证100价格指数,1
891,深证100价格指数收益率,1
896,深证100指数,1
897,深证100指数(价格)收益率,1
693,创业板动量成长指数收益率,1
878,沪深300等权重指数收益率*95%+同期银行活期存款利率*5%,1
701,创业板指数收益率*95%+商业银行活期存款利率(税后)*5%,1
720,国证有色金属行业指数收益率*95%+银行活期存款利率(税后)*5%,1
728,国证证券龙头指数收益率,1
847,沪深300指数收益率*90%+中债综合指数收益率*10%,1
727,国证航天军工指数收益率*95%+银行活期存款利率(税后)*5%,1
849,沪深300指数收益率*90%+中债综合财富指数收益率*10%,1
725,国证生物医药指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
724,国证生物医药指数收益率,1
722,国证消费100指数收益率,1
721,国证民企领先100指数收益率,1
719,国证新能源汽车指数收益率*95%+银行活期存款利率(税后)*5%,1
706,创业板综合指数*45%+中小板综合指数*45%+中证全债指数*10%,1
718,国证新能源指数收益率*95%+银行活期存款利率(税后)*5%,1
717,国证房地产行业指数收益率*95%+银行活期存款利率(税后)*5%,1
852,沪深300指数收益率*90%+中证综合债券指数*10%,1
712,国证创业板中盘精选88指数,1
860,"沪深300指数收益率*95%+1%(指年收益率,评价时按期间累计天数折算)",1
711,同期粤港澳大湾区创新100指数收益率,1
709,创业板综合指数收益率*95%+商业银行活期存款利率(税后)*5%,1
865,沪深300指数收益率*95%+一年期银行定期存款利率(税后)*5%,1
779,沪深300指数*45%+恒生指数*45%+中证全债指数*10%,1
626,中证装备产业指数收益率*80%+中证综合债指数收益率*20%,1
201,中证700指数收益率*75%+中证综合债券指数收益率*25%,1
188,中证500等权重指数,1
190,中证500行业中性低波动指数收益率,1
192,中证500行业中性低波动指数收益率*95%+银行活期存款利率(税后)*5%,1
194,中证5G产业50指数收益率,1
195,中证5G通信主题指数,1
196,中证5G通信主题指数收益率,1
199,中证700(中小盘)指数*90%+同业存款利率*10%,1
202,中证700指数收益率*80%+上证国债指数收益率*20%,1
186,中证500沪市指数,1
203,中证700指数收益率*80%+中债综合财富(总值)指数收益率*20%,1
205,中证700指数收益率*90%+银行同业存款利率*10%,1
206,中证800制药与生物科技指数收益率*95%+金融同业存款利率*5%,1
207,中证800地产指数收益率*95%+商业银行活期存款利率(税后)*5%,1
211,中证800指数收益率*60%+人民币计价的恒生综合指数收益率*20%+中证全债指数收益率*20%,1
215,中证800指数收益率*70%+恒生指数收益率*20%+中债综合财富指数收益率*10%,1
218,中证800指数收益率*80%+中债总财富指数收益率*20%,1
187,中证500深市价格指数,1
181,中证500指数收益率*95%+金融同业存款利率*5%,1
136,中证100指数收益率*90%+银行同业存款利率*10%,1
153,中证500指数*95%+同期银行活期存款利率*5%,1
139,中证100指数收益率*95%+活期存款利率(税后)*5%,1
141,中证100指数收益率*95%+银行同业存款利率*5%,1
144,中证200指数收益率*95%+商业银行活期存款利率(税后)*5%,1
147,中证500价格指数收益率*95%+人民银行一年期定存基准收益率(税后)*5%,1
148,中证500信息技术指数,1
150,中证500成长估值指数收益率,1
151,中证500成长指数收益率*60%+恒生互联网科技业指数收益率*20%+中债综合指数收益率*20%,1
155,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,1
174,中证500指数收益率*95%+中证综合债券指数收益率*5%,1
158,中证500指数收益率*85%+中债综合全价(总值)指数收益率*15%,1
159,中证500指数收益率*85%+中证全债指数收益率*15%,1
162,中证500指数收益率*90%+上证国债指数收益率*10%,1
166,中证500指数收益率*90%+活期存款利率(税后)*10%,1
167,中证500指数收益率*90%+银行同业存款收益率(税后)*10%,1
170,"中证500指数收益率*95%+1%(指年收益率,评价时按期间折算)",1
171,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,1
221,中证800指数收益率*80%+中债综合指数收益率(全价)*20%,1
228,中证800指数收益率*80%+恒生港股通指数收益率(使用估值汇率折算)*10%+中债综合全价指数收益率*10%,1
230,中证800指数收益率*85%+中债综合指数收益率*15%,1
274,中证中游指数收益率*85%+中债综合指数收益率*15%,1
264,中证万得并购重组指数收益率*95%+活期存款利率(税后)*5%,1
266,中证上海国企指数,1
267,中证上海国企指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
268,中证上游资源产业指数收益率*80%+中证全债指数收益率*20%,1
269,中证上游资源产业指数收益率*95%+银行活期存款利率(税后)*5%,1
270,中证下游消费与服务产业指数收益率*95%+银行活期存款利率(税后)*5%,1
273,中证中央企业综合指数收益率*80%+中证综合债指数收益率*20%,1
275,中证中航军工主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
233,中证800指数收益率*85%+商业银行活期存款利率(税前)*15%,1
279,中证主要消费指数,1
280,中证主要消费指数收益率,1
282,中证主要消费指数收益率*80%+中证全债指数收益率*20%,1
283,中证主要消费指数收益率*80%+中证综合债指数收益率*20%,1
285,中证主要消费红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,1
287,中证主要消费行业指数*40%+中证可选消费行业指数*40%+中债综合指数*20%,1
289,中证云计算与大数据主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
263,中证一带一路指数收益率*95%+商业银行活期存款利率(税后)*5%,1
262,中证一带一路主题指数收益率*95%+商业银行活期存款利率(税后)*5%,1
261,中证TMT指数*90%+同业存款利率(税后)*10%,1
260,中证TMT产业主题指数收益率*95%+金融同业存款利率*5%,1
234,中证800指数收益率*85%+商业银行活期存款利率*15%,1
236,中证800指数收益率*90%+中债总财富指数收益率*10%,1
237,中证800指数收益率*90%+中国债券总指数收益率*10%,1
238,中证800指数收益率*90%+同业存款利率(税后)*10%,1
242,中证800指数收益率*95%+一年期银行定期存款利率(税后)*5%,1
246,中证800有色金属指数收益率*95%+金融同业存款利率*5%,1
247,中证800证券保险指数收益率,1
248,中证800证券保险指数收益率*95%+商业银行活期存款利率(税后)*5%,1
249,中证800金融价格指数收益率*95%+金融同业存款利率*5%,1
250,中证A股资源产业指数收益率*95%+银行活期存款利率(税后)*5%,1
251,中证TMT150指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,1
252,中证TMT产业主题指数*80%+中证全债指数*20%,1
253,中证TMT产业主题指数收益率*60%+恒生综合指数收益率*20%+中证全债指数收益率*20%,1
256,中证TMT产业主题指数收益率*70%+中证港股通TMT主题指数收益率*20%+上证国债指数收益率*10%,1
259,中证TMT产业主题指数收益率*80%+中证综合债指数收益率*20%,1
138,中证100指数收益率*95%+一年期银行定期存款收益率(税后)*5%,1
134,中证100指数收益率,1
625,中证装备产业指数收益率*80%+中债综合指数收率*20%,1
58,上证50指数收益率*95%+同期银行活期存款利率(税后)*5%,1
45,上证180指数收益率*95%+商业银行活期存款利率(税后)*5%,1
46,上证180指数收益率*95%+银行同业存款利率*5%,1
47,上证180金融股指数,1
48,上证180金融股指数收益率,1
49,上证180金融股指数收益率*95%+银行活期存款利率(税后)*5%,1
50,上证380指数,1
54,上证50指数*95%+一年期银行定期存款利率(税后)*5%,1
62,上证中小盘指数,1
43,上证180公司治理指数*95%+银行活期存款收益率(税后)*5%,1
63,上证中小盘指数*95%+银行活期存款收益率(税后)*5%,1
64,上证中盘指数,1
66,上证主要消费行业指数,1
67,上证医药卫生行业指数,1
68,上证周期行业50指数,1
69,上证周期行业50指数收益率*95%+活期存款利率(税后)*5%,1
70,上证国有企业100指数,1
44,上证180指数,1
42,上证180公司治理指数,1
130,中证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
17,MSCI中国A股国际质量指数收益率,1
5,MSCI中国A股低波动指数(MSCI China A International Minimum Volatility Index)收益率,1
6,MSCI中国A股公用事业指数收益率*80%+中证全债指数收益率*20%,1
9,MSCI中国A股国际指数(MSCI China A International Index)收益率,1
11,MSCI中国A股国际指数收益率,1
12,MSCI中国A股国际指数收益率(经汇率调整),1
14,MSCI中国A股国际指数收益率*95%+商业银行活期存款利率(税后)*5%,1
15,MSCI中国A股国际指数收益率*95%+银行活期存款(税后)利率*5%,1
19,MSCI中国A股国际通ESG通用指数*95%+人民币银行活期存款利率(税后)*5%,1
41,上证180价值指数收益率*95%+银行同业存款利率*5%,1
24,MSCI中国A股国际通指数收益率*95%+商业银行活期存款利率(税后)*5%,1
27,MSCI中国A股在岸指数收益率*60%+经汇率调整的恒生指数收益率*30%+上证国债指数收益率*10%,1
31,MSCI中国A股指数收益率*85%+银行活期存款利率(税后)*10%+恒生指数收益率*5%,1
32,MSCI中国A股指数收益率*95%+金融同业存款利率*5%,1
34,MSCI中国A股指数收益率*95%+银行活期存款利率(税后)*5%,1
36,MSCI中国A股质优价值100指数,1
40,上证180价值指数,1
71,上证大宗商品股票指数,1
72,上证大宗商品股票指数收益率*95%+银行活期存款利率(税后)*5%,1
73,上证央企50指数,1
111,中国战略新兴产业成份指数(简称:新兴成指)指数收益率,1
98,中信汽车行业指数收益率*80%+中债总指数收益率*20%,1
99,中信电子元器件指数收益率*80%+中证全债指数收益率*20%,1
101,中信计算机指数收益率*80%+中证全债指数收益率*20%,1
102,中关村A股指数收益率,1
103,中创400指数,1
105,中华交易服务半导体芯片行业指数收益率,1
108,中华交易服务港股通精选100指数收益率(经汇率调整),1
115,中小企业板价格指数,1
74,上证消费80指数,1
117,中小板300价格指数,1
119,中小板价格指数收益率*95%+活期存款利率(税后)*5%,1
120,中小板指数收益率*90%+一年期银行定期存款利率(税后)*10%,1
122,中小板综指收益率*95%+活期存款利率(税后)*5%,1
123,中证1000指数,1
125,中证1000指数收益率*90%+上证国债指数收益率*10%,1
126,中证1000指数收益率*90%+活期存款利率*10%,1
97,中信汽车指数收益率*75%+中证全债指数收益率*15%+中信港股通汽车指数收益率*10%,1
96,中信农林牧渔一级行业指数收益率*85%+中债综合财富指数收益率*15%,1
94,上证龙头企业指数收益率*95%+商业银行活期存款利率(税后)*5%,1
93,上证龙头企业指数,1
76,上证港股通指数收益率,1
77,上证社会责任指数,1
78,上证社会责任指数收益率*95%+商业银行活期存款利率(税后)*5%,1
80,上证红利低波动指数收益率,1
81,上证红利指数,1
82,上证综合指数,1
83,上证综合指数收益率,1
85,上证自然资源指数收益率,1
86,上证自然资源指数收益率*95%+银行活期存款利率(税后)*5%,1
87,上证证券行业指数,1
88,上证超级大盘指数,1
89,上证超级大盘指数收益率*95%+银行活期存款利率(税后)*5%,1
90,上证金融地产行业指数,1
91,上证非周期行业100指数,1
92,上证非周期行业100指数收益率*95%+活期存款利率(税后)*5%,1
292,中证互联网指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
293,中证京津冀协同发展主题指数收益率,1
300,中证人工智能产业指数收益率,1
538,中证港股通综合指数收益率*85%+银行活期存款利率(税后)*15%,1
523,中证消费50指数收益率,1
525,中证消费服务领先指数*90%+同业存款利率(税后)*10%,1
526,中证消费服务领先指数收益率,1
527,中证消费服务领先指数收益率*65%+中证港股通大消费主题指数收益率(使用估值汇率调整)*20%+中债综合全价指数收益率*15%,1
528,中证消费服务领先指数收益率*65%+中证港股通大消费主题指数收益率*20%+中债综合全价指数收益率*15%,1
529,中证消费服务领先指数收益率*95%+银行活期存款收益率(税后)*5%,1
533,中证港股通50指数收益率(使用估值汇率折算),1
539,中证港股通综合指数收益率*90%+同业存款利率(税后)*10%,1
520,中证浙江凤凰行动50指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
543,中证煤炭指数收益率,1
544,中证煤炭指数收益率*95%+同期银行活期存款利率(税后)*5%,1
545,中证煤炭指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
547,中证煤炭等权指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
548,中证环保产业指数收益率,1
549,中证环保产业指数收益率*40%+沪深300指数收益率*40%+中证全债指数收益率*20%,1
550,中证环保产业指数收益率*80%+中债综合指数收益率(全价)*20%,1
521,中证浙江国资创新发展指数收益率,1
519,中证浙江凤凰行动50指数收益率,1
304,中证传媒指数收益率*80%+中证综合债指数收益率*20%,1
503,中证智能消费主题指数,1
489,中证新能源汽车产业指数收益率,1
494,中证新能源汽车指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
496,中证方正富邦保险主题指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,1
497,中证智能制造主题指数收益率,1
498,中证智能制造主题指数收益率*80%+中债综合指数收益率*20%,1
499,中证智能家居指数收益率*95%+金融同业存款利率*5%,1
501,中证智能汽车主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,1
