,业绩比较基准,基准对应的基金数目
759,中证内地消费主题指数收益率*60%+中证全债指数收益率*25%+人民币计价的恒生综合指数收益率*15%,2
1408,沪深300指数收益率*70%+中证全债指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,2
758,中证内地消费主题指数收益率*60%+中国债券总指数收益率*40%,2
756,中证内地消费主题指数收益率*60%+中债综合指数收益率*25%+恒生指数收益率(经汇率估值调整)*15%,2
766,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,2
1399,沪深300指数收益率*70%+中债综合全价指数收益率*25%+同业存款利率*5%,2
641,中证800指数收益率*90%+中证港股通综合指数收益率*5%+中债综合财富(总值)指数收益率*5%,2
767,中证内地消费主题指数收益率*75%+中债综合全价指数收益率*25%,2
804,中证医药卫生指数收益率*60%+恒生医疗保健指数收益率(使用估值汇率折算)*20%+中证综合债券指数收益率*20%,2
792,中证医药卫生指数收益率*50%+恒生医疗保健指数收益率*30%+中证全债指数收益率*20%,2
795,中证医药卫生指数收益率*55%+中证内地消费主题指数收益率*20%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*5%,2
796,中证医药卫生指数收益率*55%+恒生医疗保健指数收益率*25%+上证国债指数收益率*20%,2
797,中证医药卫生指数收益率*55+中证全债指数收益率*25%+恒生医疗保健指数收益率(使用估值汇率折算)*20%,2
1368,沪深300指数收益率*65%+中债综合指数收益率*30%+恒生指数收益率*5%,2
1363,沪深300指数收益率*65%+中债综合指数(总财富)收益率*20%+中国战略新兴产业成份指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,2
803,中证医药卫生指数收益率*60%+恒生医疗保健指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,2
1358,沪深300指数收益率*65%+中债新综合指数(财富)收益率*35%,2
1392,沪深300指数收益率*70%+中债国债总全价指数收益率*25%+恒生指数收益率*5%,2
1356,沪深300指数收益率*65%+中债总指数(财富)收益率*35%,2
1349,沪深300指数收益率*60%+恒生综合指数收益率*20%+中债综合财富(总值)指数收益率*20%,2
1343,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,2
807,中证医药卫生指数收益率*65%+中证综合债券指数收益率*35%,2
808,中证医药卫生指数收益率*70%+上证国债指数收益率*30%,2
810,中证医药卫生指数收益率*70%+中证综合债指数收益率*30%,2
1342,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合全价指数收益率*20%,2
1375,沪深300指数收益率*65%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*10%,2
788,中证医药卫生指数收益率*40%+恒生医疗保健指数收益率(经汇率调整后)*40%+中证全债指数收益率*20%,2
786,中证医药卫生指数收益率*40%+中证内地消费主题指数收益率*40%+中证全债指数收益率*20%,2
785,中证医药卫生指数*80%+中债指数*20%,2
1391,沪深300指数收益率*70%+中债-综合指数(全价)收益率*25%+恒生指数收益率(按估值汇率折算)*5%,2
1386,沪深300指数收益率*70%+一年期银行定期存款利率(税后)*30%,2
1384,沪深300指数收益率*70%+1年期定期存款利率(税后)*20%+经人民币汇率调整的恒生指数收益率*10%,2
1381,沪深300指数收益率*65%+中证香港100指数收益率*20%+中债总全价指数收益率*15%,2
741,中证全指工业指数收益率*70%+中国债券总指数收益率*30%,2
769,中证内地消费主题指数收益率*80%+中债综合全价指数收益率*20%,2
770,中证内地消费主题指数收益率*80%+中证全债指数收益率*20%,2
771,中证内地消费主题指数收益率*80%+中证综合债指数收益率*20%,2
773,中证内地消费行业指数收益率*80%+中债综合(全价)指数收益率*20%,2
1378,沪深300指数收益率*65%+中证综合债券指数收益率*25%+中证港股通综合指数(人民币)收益率*10%,2
774,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,2
777,中证军工指数收益率*80%+上证国债指数收益率*20%,2
778,中证军工指数收益率*80%+中债综合全价指数收益率*20%,2
781,中证医疗指数收益率*70%+中债综合全价指数收益率*20%+恒生医疗保健指数收益率*10%,2
1377,沪深300指数收益率*65%+中证港股通综合指数收益率*20%+上证国债指数收益率*15%,2
1420,沪深300指数收益率*70%+恒生指数收益率*15%+银行活期存款利率(税后)*15%,2
1437,沪深300指数收益率*75%+中债综合全价指数收益率*25%,2
739,中证全指互联网软件与服务指数*60%+中证港股通综合指数*20%+银行活期存款利率(税后)*20%,2
680,中证债券型基金指数收益率*50%+中证股票型基金指数收益率*25%+中证货币型基金指数收益率*15%+上海黄金交易所AU99.99收益率*10%,2
670,中证主要消费行业指数收益率*30%+中证可选消费行业指数收益率*30%+中证香港100指数收益率*20%+中债总全价指数收益率*20%,2
673,中证互联互通A股策略指数收益率*90%+中债综合指数收益率*10%,2
674,中证互联网指数收益率*50%+中证全债指数收益率*50%,2
1505,申银万国制造业指数*80%+中证全债指数*20%,2
678,中证信息技术指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数收益率*10%,2
679,中证信息技术指数收益率*80%+中证综合债指数收益率*20%,2
683,中证债券型基金指数收益率*75%+中证股票型基金指数收益率*20%+银行活期存款利率(税后)*5%,2
666,中证主要消费指数收益率*50%+上证国债指数收益率*50%,2
1504,申银万国制造业指数*70%+中证综合债券指数收益率*30%,2
686,中证偏股型基金指数收益率*60%+中证普通债券型基金指数收益率*30%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,2
1501,申万国防军工指数收益率*60%+中证综合债指数收益率*40%,2
1498,申万医药生物行业指数收益率*70%+中债综合(全价)指数收益率*30%,2
698,中证全债指数收益率*50%+中证偏股型基金指数收益率*50%,2
701,中证全债指数收益率*50%+沪深300指数收益率*30%+人民币计价的恒生指数收益率*20%,2
1506,申银万国制造业指数收益率*50%+中债综合全价指数收益率*50%,2
664,中证主要消费指数收益率*30%+中证可选消费指数收益率*30%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,2
735,中证全债指数收益率+2%,2
652,中证TMT产业主题指数收益率*60%+中证综合债指数收益率*40%,2
644,中证800指数收益率*95%+银行活期存款利率(税后)*5%,2
1519,申银万国消费品指数收益率*90%+银行活期存款利率(税后)*10%,2
645,中证800行业中性低波动指数收益率*80%+中证短债指数收益率*20%,2
647,中证TMT产业主题指数*60%+中证全债指数收益率*40%,2
1513,申银万国制造业指数收益率*80%+中证综合债指数收益率*20%,2
1510,申银万国制造业指数收益率*70%+中证全债指数收益率*30%,2
654,中证TMT产业主题指数收益率*70%+人民币银行活期存款利率(税后)*30%,2
662,中证中财沪深100ESG领先指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,2
655,中证TMT产业主题指数收益率*80%+上证国债指数收益率*20%,2
658,中证TMT产业主题指数收益率*80%+中证综合债指数收益率*20%,2
1509,申银万国制造业指数收益率*65%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数收益率*5%,2
1508,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,2
659,中证中信证券量化债股联动稳健策略指数收益率,2
660,中证中国战略新兴产业成份指数收益率*70%+中证全债指数收益率*20%+恒生综合指数收益率*10%,2
702,中证全债指数收益率*50%+沪深300指数收益率*40%+人民币计价的恒生指数收益率*10%,2
1494,沪深300金融地产行业指数收益率*50%+中证香港上市可交易内地金融指数收益率*20%+中债综合财富(总值)指数收益率*20%+中证香港上市可交易内地地产指数收益率*10%,2
703,中证全债指数收益率*50%+沪深300指数收益率*40%+恒生指数收益率*10%,2
729,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生综合指数收益率(经汇率调整后)*5%,2
1452,沪深300指数收益率*80%+中债国债总财富指数收益率*20%,2
727,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,2
1441,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+银行活期存款利率(税后)*5%,2
815,中证可转换债券指数收益率*40%+中债信用债总指数收益率*40%+沪深300指数收益率*15%+金融机构人民币活期存款基准利率(税后)*5%,2
1433,沪深300指数收益率*75%+中债新综合财富(总值)指数收益率*20%+金融机构人民币活期存款利率(税后)*5%,2
728,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,2
1432,沪深300指数收益率*75%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%,2
1493,沪深300金融地产指数收益率*65%+中债国债总指数收益率(全价)*35%,2
1431,沪深300指数收益率*75%+中债总财富(总值)指数收益率*25%,2
732,中证全债指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整后)*5%,2
733,中证全债指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,2
1430,沪深300指数收益率*75%+中债总指数(全价)收益率*15%+恒生指数收益率*10%,2
1424,沪深300指数收益率*70%+银行活期存款利率(税后)*20%+恒生指数收益率(经汇率估值调整)*10%,2
1423,沪深300指数收益率*70%+银行活期存款利息*20%+恒生指数收益率*10%,2
721,中证全债指数收益率*80%+中证500指数收益率*20%,2
1454,沪深300指数收益率*80%+中债总全价指数收益率*20%,2
719,中证全债指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率(经汇率调整)*5%,2
1457,沪深300指数收益率*80%+中债总财富指数收益率*20%,2
718,中证全债指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,2
717,中证全债指数收益率*75%+中证800指数收益率*25%,2
1461,沪深300指数收益率*80%+中债综合全价指数收益率*15%+同业存款利率*5%,2
1466,沪深300指数收益率*80%+中债综合财富指数收益率*20%,2
1470,沪深300指数收益率*80%+中证国债指数收益率*20%,2
713,中证全债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率(经汇率调整)*5%,2
712,中证全债指数收益率*70%+沪深300指数收益率*25%+中证港股通综合指数(人民币)收益率*5%,2
1477,沪深300指数收益率*85%+上证国债指数收益率*15%,2
711,中证全债指数收益率*70%+沪深300指数收益率*15%+恒生指数收益率*15%,2
710,中证全债指数收益率*70%+中证高股息精选指数收益率*15%+恒生高股息率指数收益率*10%+金融机构人民币活期存款基准利率(税后)*5%,2
1482,沪深300指数收益率*95%+上证国债指数收益率*5%,2
706,中证全债指数收益率*55%+中证800指数收益率*40%+人民币活期存款利率(税后)*5%,2
1483,沪深300指数收益率*95%+中债综合全价指数收益率*5%,2
812,中证医药卫生指数收益率*80%+中证综合债券指数收益率*20%,2
1337,沪深300指数收益率*60%+恒生指数收益率(使用汇率估值折算)*25%+中债综合全价指数收益率*15%,2
1341,沪深300指数收益率*60%+恒生指数收益率*20%+上证国债指数收益率*20%,2
1016,富时中国A600成长指数*75%+富时中国国债指数*25%,2
1036,年化收益率5%,2
1251,沪深300指数收益率*55%+中债综合指数收益率*25%+恒生指数收益率*20%,2
1039,年化收益率8%,2
1041,恒生指数收益率(使用估值汇率折算)*30%+中证互联网指数收益率*25%+中证消费服务领先指数收益率*25%+中债综合指数收益率*20%,2
1044,恒生指数收益率(使用估值汇率折算)*65%+中债综合财富指数收益率*20%+沪深300指数收益率*15%,2
1045,恒生指数收益率(使用估值汇率折算)*70%+沪深300指数收益率*15%+中债综合财富指数收益率*15%,2
1046,恒生指数收益率(使用估值汇率折算)*75%+中债综合全价(总值)指数收益率*25%,2
1242,沪深300指数收益率*55%+中债-综合指数(全价)收益率*25%+恒生指数收益率(按估值汇率折算)*20%,2
1047,恒生指数收益率(使用估值汇率折算)*80%+中债综合指数收益率*20%,2
1048,恒生指数收益率(使用估值汇率折算)*80%+中证综合债指数收益率*20%,2
1052,恒生指数收益率*50%+中债综合财富(总值)指数*50%,2
1055,恒生指数收益率*60%+中证全债指数收益率*30%+沪深300指数收益率*10%,2
1058,恒生指数收益率*75%+人民币银行活期存款利率(税后)*25%,2
1065,恒生综合指数收益率*60%+中债综合全价(总值)指数*30%+沪深300指数收益率*10%,2
1066,恒生综合指数收益率*60%+中债综合全价(总值)指数收益率*30%+沪深300指数收益率*10%,2
1252,沪深300指数收益率*55%+中债综合指数收益率*30%+恒生指数收益率*15%,2
1012,富时中国600成长指数*75%+中国债券总指数*20%+一年定期存款利率*5%,2
1235,沪深300指数收益率*50+上证国债指数收益率*50%,2
1009,天相小市值指数,2
967,中证高端制造主题指数收益率*75%+中证综合债券指数收益率*25%,2
1270,沪深300指数收益率*60%+上证国债指数收益率*30%+恒生指数收益率*10%,2
969,中证高端装备制造指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,2
972,中证龙头企业指数收益率*90%+银行活期存款利率(税后)*10%,2
1268,沪深300指数收益率*60%+一年期银行定期存款利率*30%+恒生指数收益率*10%,2
1267,沪深300指数收益率*60%+1年期定期存款利率(税后)*40%,2
977,人民银行一年期银行定期存款基准利率收益率(税后)+2%,2
1263,沪深300指数收益率*55%+恒生指数收益率(经汇率估值调整)*20%+中国债券总指数收益率*20%+中国战略新兴产业成份指数收益率*5%,2
981,创业板指数收益率*50%+中证全债指数收益率*50%,2
984,创业板指数收益率*70%+中证短债指数收益率*20%+中证港股通指数收益率*10%,2
990,创业板综合指数收益率*60%+中债综合全价指数收益率*30%+恒生综合指数收益率*10%,2
994,创业板综合指数收益率*80%+中债综合指数收益率*20%,2
1258,沪深300指数收益率*55%+中证全债指数收益率*30%+恒生指数收益率*15%,2
1257,沪深300指数收益率*55%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*20%,2
998,同期中国人民银行公布的一年期定期存款基准利率(税后)+1%,2
1236,沪深300指数收益率*50+中债综合指数收益率*40%+中证港股通综合指数收益率*10%,2
1091,沪深300指数*50%+中证国债指数*45%+同业存款利率*5%,2
1340,沪深300指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中证综合债指数收益率*20%,2
1196,沪深300指数收益率*50%+中债综合全价指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,2
1190,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*40%+中证港股通综合指数收益率*10%,2
1188,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*30%+中证港股通综合指数收益率*20%,2
1146,沪深300指数收益率*35%+恒生指数收益率(经汇率调整)*35%+一年期银行存款利率(税后)*30%,2
1151,沪深300指数收益率*40%+中债综合全价(总值)指数收益率*40%+中证港股通综合指数收益率*20%,2
1182,沪深300指数收益率*50%+中债总指数收益率*40%+中证港股通综合指数收益率*10%,2
1152,沪深300指数收益率*40%+中债综合指数收益率*40%+恒生综合指数收益率*20%,2
1180,沪深300指数收益率*50%+中债总全价指数收益率*50%,2
1155,沪深300指数收益率*40%+中证综合债券指数收益率*40%+恒生指数收益率*20%,2
1179,沪深300指数收益率*50%+中债国债总指数收益率(全价)*50%,2
1156,沪深300指数收益率*40%+中证综合债指数收益率*40%+恒生指数收益率*20%,2
1157,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,2
1166,沪深300指数收益率*45%+中债综合财富(总值)指数收益率*40%+中证港股通综合指数收益率*15%,2
1167,沪深300指数收益率*45%+中债综合财富(总值)指数收益率*40%+恒生综合指数收益率*15%,2
1177,沪深300指数收益率*50%+上证国债指数收益率*40%+中证港股通综合指数(人民币)收益率*10%,2
1169,沪深300指数收益率*45%+中证港股通综合指数收益率*35%+中债总指数收益率*20%,2
1194,沪深300指数收益率*50%+中债综合全价指数收益率*30+中证港股通综合指数收益率*20%,2
1200,沪深300指数收益率*50%+中债综合指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,2
1233,沪深300指数收益率*50%+恒生指数收益率*30%+中证综合债券指数收益率*20%,2
1202,沪深300指数收益率*50%+中债综合指数收益率*40%+中证港股通综合指数收益率*10%,2
1232,沪深300指数收益率*50%+恒生指数收益率*30%+中债综合财富指数收益率*20%,2
1231,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,2
1229,沪深300指数收益率*50%+中证综合全债(总值)指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,2
1097,沪深300指数*55%+中证综合债券指数*45%,2
1224,沪深300指数收益率*50%+中证国债指数收益率*30%+恒生指数收益率*20%,2
1100,沪深300指数*60%+中债国债总指数*40%,2
1222,沪深300指数收益率*50%+中证全债指数收益率*40%+恒生指数收益率*10%,2
1220,沪深300指数收益率*50%+中国债券综合全价指数收益率*50%,2
1107,沪深300指数*65%+中国债券综合全价指数*35%,2
1212,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*40%+恒生综合指数收益率*10%,2
1211,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*40%+恒生指数收益率*10%,2
1210,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*40%+恒生指数收益率(使用估值汇率调整)*10%,2
1208,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*30%+恒生综合指数收益率*20%,2
1118,沪深300指数*75%+中国债券总指数*25%,2
1122,沪深300指数*75%+中证综合债券指数*25%,2
963,中证金融地产行业指数收益率*80%+中债综合指数收益率*20%,2
962,中证金融地产指数收益率*65%+中债国债总指数收益率(全价)*35%,2
1271,沪深300指数收益率*60%+上证国债指数收益率*30%+活期存款利率(税后)*10%,2
864,中证新材料主题指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*10%,2
867,中证新能源指数收益率*60%+恒生工业行业指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,2
868,中证新能源指数收益率*80%+恒生中国企业指数收益率(经汇率调整后)*10%+中债综合全价指数收益率*10%,2
870,中证新能源汽车指数收益率*70%+中债综合全价(总值)指数收益率*20%+中证香港100指数收益率*10%,2
871,中证新能源汽车指数收益率*80%+中债综合财富(总值)指数收益率*20%,2
876,中证服务业指数收益率*70%+中证综合债券指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,2
878,中证民营企业综合指数*80%+上证国债指数*20%,2
880,中证沪港深高股息精选指数收益率*80%+中债综合指数收益率*20%,2
1332,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富指数收益率*20%,2
883,中证消费服务领先指数收益率*60%+中证香港300消费指数收益率*20%+银行活期存款利率*20%,2
885,中证消费服务领先指数收益率*65%+中债综合指数收益率*25%+中证港股通大消费主题指数收益率*10%,2
1329,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,2
887,中证消费服务领先指数收益率*80%+一年期银行定期存款利率(税后)*20%,2
1327,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,2
1325,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生综合指数收益率*10%,2
888,中证港股通综合指数(CNY)收益率*65%+中债综合财富(总值)指数收益率*20%+沪深300指数收益率*15%,2
865,中证新能源产业指数收益率*50%+中证全债指数收益率*50%,2
863,中证新型基础设施建设主题指数收益率*75%+上证国债指数收益率*20%+恒生指数收益率*5%,2
959,中证装备产业指数*80%+上证国债指数*20%,2
861,中证新兴产业指数收益率*80%+中债综合指数收益率*20%,2
822,中证国有企业改革指数收益率*55%+上证国债指数收益率*45%,2
829,中证基建工程指数收益率*35%+中证新型基础设施建设主题指数收益率*35%+中证综合债券指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,2
833,中证工业4.0指数收益率*55%+中债综合财富指数收益率*45%,2
836,中证平安2035退休宝指数收益率*95%+同期银行活期存款利率*5%,2
1338,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+中证综合债指数收益率*20%,2
837,中证开放式基金指数收益率*80%+中证全债指数收益率*20%,2
840,中证新兴产业指数*50%+中证综合债券指数*50%,2
1170,沪深300指数收益率*45%+人民币计价的恒生指数收益率*45%+中证全债指数收益率*10%,2
845,中证新兴产业指数收益率*40%+中债总指数(全价)收益率*40%+中证TMT产业主题指数收益率*20%,2
846,中证新兴产业指数收益率*50%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,2
852,中证新兴产业指数收益率*60%+中债总指数收益率*40%,2
853,中证新兴产业指数收益率*60%+中债综合指数收益率*20%+恒生互联网科技业指数收益率*20%,2
854,中证新兴产业指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,2
855,中证新兴产业指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率(经汇率调整后)*10%,2
858,中证新兴产业指数收益率*70%+中债综合全价指数收益率*30%,2
889,中证港股通综合指数收益率*55%+沪深300指数收益率*35%+中证短债指数收益率*10%,2
892,中证港股通综合指数收益率*75%+同期银行活期存款利率(税后)*25%,2
901,中证科技龙头指数收益率*65%+上证国债指数收益率*20%+中证港股通综合指数收益率*15%,2
902,中证移动互联网指数*50%+中债综合指数*50%,2
936,中证综合债券指数收益率*85%+沪深300指数收益率*15%,2
1298,沪深300指数收益率*60%+中债综合指数收益率*35%+恒生指数收益率*5%,2
940,中证综合债指数收益率*60%+沪深300指数收益率*40%,2
944,中证综合债指数收益率*70%+沪深300指数收益率*20%+中证商品期货成份指数收益率*10%,2
945,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),2
1296,沪深300指数收益率*60%+中债综合指数收益率*30%+恒生综合指数收益率(经汇率估值调整)*10%,2
1293,沪深300指数收益率*60%+中债综合指数收益率*25%+恒生指数收益率(使用估值汇率折算)*15%,2
1291,沪深300指数收益率*60%+中债综合指数收率*40%,2
1287,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生指数收益率*10%,2
1279,沪深300指数收益率*60%+中债-综合指数(全价)收益率*25%+恒生指数收益率(按估值汇率折算)*15%,2
1278,沪深300指数收益率*60%+中债-综合全价(总值)指数收益率*40%,2
953,中证综合债指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%(经汇率估值调整),2
1276,沪深300指数收益率*60%+中债-新综合财富(总值)指数收益率*25%+人民币计价的恒生指数收益率*15%,2
957,中证股票型基金指数收益率*50%+中证债券型基金指数收益率*45%+银行活期存款利率(税后)*5%,2
1272,沪深300指数收益率*60%+上证国债指数收益率*35%+恒生指数收益率*5%,2
1301,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,2
1302,沪深300指数收益率*60%+中债综合财富指数收益率*40%,2
931,中证综合债券指数收益率*70%+沪深300指数收益率*30%,2
917,中证红利指数收益率*70%+中证综合债指数收益率*20%+中证港股通高股息投资指数收益率*10%,2
903,中证粤港澳大湾区发展主题指数收益率*70%+上证国债指数收益率*30%,2
907,中证红利指数收益率*50%+中债综合全价(总值)指数收益率*50%,2
911,中证红利指数收益率*60%+中债综合财富(总值)指数收益率*30%+中证港股通高股息投资指数收益率*10%,2
1320,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+银行活期存款利率(税后)*20%,2
914,中证红利指数收益率*60%+中证港股通高股息投资指数收益率*20%+中债综合指数收益率*20%,2
916,中证红利指数收益率*70%+上证国债指数收益率*20%+中证港股通高股息投资指数收益率*10%,2
1316,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证综合债券指数收益率*20%,2
1304,沪深300指数收益率*60%+中国债券总指数收益率*30%+恒生指数收益率*10%,2
1315,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证全债指数收益率*20%,2
919,中证红利指数收益率*75%+中证综合债指数收益率*20%+恒生指数收益率*5%,2
923,中证红利指数收益率*80%+中证全债指数收益率*20%,2
1314,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,2
1309,沪深300指数收益率*60%+中证全债指数收益率*25%+恒生综合指数收益率(经汇率调整)*15%,2
1306,沪深300指数收益率*60%+中证全债指数*40%,2
642,中证800指数收益率*95%+中债综合指数收益率*5%,2
762,"中证内地消费主题指数收益率*65%+中债综合指数收益率*20%+中证港股通大消费主题指数收益率*15%(如需调整汇率,指数收益率为人民币汇率调整后的)",2
640,中证800指数收益率*90%+一年期银行定期存款收益率(税后)*10%,2
331,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*50%,2
311,中债综合财富指数收益率*85%+沪深300指数收益率*15,2
312,中债综合财富指数收益率*85%+沪深300指数收益率*15%,2
313,中国人民银行公布的1年期定期存款利率(税后)+1%,2
320,中国债券总指数收益率*40%+中证800指数收益率*30%+恒生综合指数收益率*30%,2
325,中国债券总财富指数收益率*40%+中证500指数收益率*40%+恒生综合指数收益率*20%,2
326,中国债券综合全价指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数收益率*5%,2
327,中国战略新兴产业成份指数收益率*35%+中证内地消费主题指数收益率*35%+中证综合债指数收益率*30%,2
330,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,2
334,中国战略新兴产业成份指数收益率*50%+中证综合债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,2
306,中债综合财富指数收益率*80%+中证800指数收益率*15%+中证港股通综合指数收益率(使用估值汇率折算)*5%,2
337,中国战略新兴产业成份指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数收益率*10%,2
338,中国战略新兴产业成份指数收益率*60%+中债综合全价指数收益率*40%,2
339,中国战略新兴产业成份指数收益率*60%+中债综合指数收益率*25%+中证800指数收益率*15%,2
341,中国战略新兴产业成份指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率*10%,2
342,中国战略新兴产业成份指数收益率*60%+中债综合指数收益率*40%,2
345,中国战略新兴产业成份指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,2
347,中国战略新兴产业成份指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,2
357,中国战略新兴产业成份指数收益率*65%+中债综合财富(总值)指数收益率*25%+恒生指数收益率*10%,2
310,中债综合财富指数收益率*85%+中证800指数收益率*15%,2
304,中债综合财富指数收益率*75%+中证800指数收益率*20%+同期银行活期存款利率(税后)*5%,2
361,中国战略新兴产业成份指数收益率*70%+上证国债指数收益率*20%+中证港股通综合指数收益率*10%,2
282,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,2
260,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生综合指数收益率*5%,2
269,中债综合指数收益率*90%+中证500指数收益率*10%,2
273,中债综合财富(总值)指数*80%+沪深300指数收益率*15%+恒生综合指数收益率*5%,2
275,中债综合财富(总值)指数收益率*40%+恒生国企指数收益率*40%+沪深300指数收益率*20%,2
276,中债综合财富(总值)指数收益率*40%+恒生港股通高股息低波动指数收益率(经汇率调整后)*30%+沪深300红利指数收益率*30%,2
277,中债综合财富(总值)指数收益率*50%+沪深300指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,2
279,中债综合财富(总值)指数收益率*65%+沪深300指数收益率*25%+恒生综合指数收益率*10%,2
280,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*20%+中证港股通综合指数(CNY)收益率*5%+银行活期存款利率(税后)*5%,2
285,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+银行活期存款利率(税后)*5%+恒生综合指数收益率*5%,2
303,中债综合财富指数收益率*75%+中证700指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,2
288,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,2
290,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,2
292,中债综合财富(总值)指数收益率*85%+中证800指数收益率*12%+中证港股通综合指数(人民币)收益率*3%,2
294,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率*5%,2
295,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*12%+中证港股通综合指数(人民币)收益率*3%,2
297,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*15%,2
298,中债综合财富(总值)指数收益率*90%+中证800指数收益率*8%+中证港股通综合指数(人民币)收益率*2%,2
301,中债综合财富指数收益率*70%+中证800股票指数收益率*20%+Wind商品综合指数收益率*10%,2
