,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
10997,519629.OF,银河睿利A,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
10998,519630.OF,银河睿利C,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
10999,519632.OF,银河君辉3个月,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11000,519640.OF,银河鸿利A,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11001,519641.OF,银河鸿利C,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11002,519642.OF,银河大国智造主题,混合型基金,灵活配置型基金,中证装备产业指数收益率*70%+上证国债指数收益率*30%,中证装备产业指数收益率,70%,上证国债指数收益率,30%,nan,,nan,,nan,
11003,519644.OF,银河智联主题,混合型基金,灵活配置型基金,中证800指数收益率*70%+上证国债指数收益率*30%,中证800指数收益率,70%,上证国债指数收益率,30%,nan,,nan,,nan,
11004,519646.OF,银河鑫利I,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11005,519647.OF,银河鸿利I,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11006,519648.OF,银河泰利I,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11007,519651.OF,银河转型增长,混合型基金,灵活配置型基金,中证500指数收益率*70%+上证国债指数收益率*30%,中证500指数收益率,70%,上证国债指数收益率,30%,nan,,nan,,nan,
11008,519652.OF,银河鑫利A,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11009,519653.OF,银河鑫利C,混合型基金,灵活配置型基金,中国人民银行公布的3年期定期存款利率(税后)+1%,中国人民银行公布的3年期定期存款利率(税后),,1%,,nan,,nan,,nan,
11010,519654.OF,银河丰利,债券型基金,中长期纯债型基金,中债-金融债券总指数收益率,中债-金融债券总指数收益率,,nan,,nan,,nan,,nan,
11011,519655.OF,银河现代服务主题,混合型基金,灵活配置型基金,中证服务业指数收益率*70%+上证国债指数收益率*30%,中证服务业指数收益率,70%,上证国债指数收益率,30%,nan,,nan,,nan,
11012,519656.OF,银河灵活配置A,混合型基金,灵活配置型基金,三年期定期存款利率(税后)+2.5%,三年期定期存款利率(税后),,2.5%,,nan,,nan,,nan,
11013,519657.OF,银河灵活配置C,混合型基金,灵活配置型基金,三年期定期存款利率(税后)+2.5%,三年期定期存款利率(税后),,2.5%,,nan,,nan,,nan,
11014,519660.OF,银河增利A,债券型基金,混合债券型二级基金,三年期定期存款利率(税后)+1.5%,三年期定期存款利率(税后),,1.5%,,nan,,nan,,nan,
11015,519661.OF,银河增利C,债券型基金,混合债券型二级基金,三年期定期存款利率(税后)+1.5%,三年期定期存款利率(税后),,1.5%,,nan,,nan,,nan,
11016,519662.OF,银河久益回报6个月定开A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11017,519663.OF,银河久益回报6个月定开C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11018,519664.OF,银河美丽优萃A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
11019,519665.OF,银河美丽优萃C,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
11020,519666.OF,银河银信添利B,债券型基金,混合债券型一级基金,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,中证全债指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,
11021,519667.OF,银河银信添利A,债券型基金,混合债券型一级基金,中证全债指数收益率*80%+一年期定期存款利率(税后)*20%,中证全债指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,
11022,519668.OF,银河竞争优势成长,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
11023,519669.OF,银河领先债券,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11024,519670.OF,银河行业优选,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
11025,519671.OF,银河沪深300价值,股票型基金,被动指数型基金,沪深300价值指数收益率*95%+银行活期存款收益率(税后)*5%,沪深300价值指数收益率,95%,银行活期存款收益率(税后),5%,nan,,nan,,nan,
11026,519672.OF,银河蓝筹精选,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%,nan,,nan,,nan,
11027,519673.OF,银河康乐,股票型基金,普通股票型基金,申银万国医药生物行业指数收益率*80%+上证国债指数收益率*20%,申银万国医药生物行业指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
11028,519674.OF,银河创新成长,混合型基金,偏股混合型基金,中证500指数收益率*75%+上证国债指数收益率*25%,中证500指数收益率,75%,上证国债指数收益率,25%,nan,,nan,,nan,
11029,519675.OF,银河泰利A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11030,519676.OF,银河强化收益,债券型基金,混合债券型二级基金,上证国债指数收益率*85%+沪深300指数收益率*10%+银行活期存款收益率(税后)*5%,上证国债指数收益率,85%,沪深300指数收益率,10%,银行活期存款收益率(税后),5%,nan,,nan,
11031,519677.OF,银河定投宝,股票型基金,被动指数型基金,中证腾讯济安价值100A股指数收益率*95%+银行活期存款利率(税后)*5%,中证腾讯济安价值100A股指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
11032,519678.OF,银河消费驱动,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,中证内地消费主题指数收益率,75%,上证国债指数收益率,25%,nan,,nan,,nan,
11033,519679.OF,银河主题策略,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%,nan,,nan,,nan,
11034,519680.OF,交银增利债券A,债券型基金,混合债券型一级基金,中债企业债总指数,中债企业债总指数,,nan,,nan,,nan,,nan,
11035,519681.OF,交银增利债券B,债券型基金,混合债券型一级基金,中债企业债总指数,中债企业债总指数,,nan,,nan,,nan,,nan,
11036,519682.OF,交银增利债券C,债券型基金,混合债券型一级基金,中债企业债总指数,中债企业债总指数,,nan,,nan,,nan,,nan,
11037,519683.OF,交银双利AB,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
11038,519685.OF,交银双利C,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
11039,519686.OF,交银180治理ETF联接,股票型基金,被动指数型基金,上证180公司治理指数*95%+银行活期存款收益率(税后)*5%,上证180公司治理指数,95%,银行活期存款收益率(税后),5%,nan,,nan,,nan,
11040,519688.OF,交银精选,混合型基金,偏股混合型基金,沪深300指数*75%+中证综合债券指数*25%,沪深300指数,75%,中证综合债券指数,25%,nan,,nan,,nan,
11041,519690.OF,交银稳健配置A,混合型基金,灵活配置型基金,MSCI中国A股指数*65%+中证综合债券指数*35%,MSCI中国A股指数,65%,中证综合债券指数,35%,nan,,nan,,nan,
11042,519692.OF,交银成长A,混合型基金,偏股混合型基金,富时中国A600成长指数*75%+富时中国国债指数*25%,富时中国A600成长指数,75%,富时中国国债指数,25%,nan,,nan,,nan,
11043,519694.OF,交银蓝筹,混合型基金,偏股混合型基金,中证100指数*75%+中证综合债券指数*25%,中证100指数,75%,中证综合债券指数,25%,nan,,nan,,nan,
11044,519696.OF,交银环球精选,国际(QDII)基金,国际(QDII)混合型基金,标准普尔全球大中盘指数(S&P Global LargeMidCap Index)*70%+恒生指数*30%,标准普尔全球大中盘指数(S&P Global LargeMidCap Index),70%,恒生指数,30%,nan,,nan,,nan,
11045,519697.OF,交银优势行业,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11046,519698.OF,交银先锋,混合型基金,偏股混合型基金,中证700指数*75%+中证综合债券指数*25%,中证700指数,75%,中证综合债券指数,25%,nan,,nan,,nan,
11047,519700.OF,交银主题优选,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11048,519702.OF,交银趋势优先,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证综合债券指数收益率*25%,沪深300指数收益率,75%,中证综合债券指数收益率,25%,nan,,nan,,nan,
11049,519704.OF,交银先进制造,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11050,519706.OF,交银深证300价值ETF联接,股票型基金,被动指数型基金,深证300价值价格指数收益率*95%+银行活期存款收益率(税后)*5%,深证300价值价格指数收益率,95%,银行活期存款收益率(税后),5%,nan,,nan,,nan,
11051,519710.OF,交银策略回报,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11052,519712.OF,交银阿尔法,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证综合债券指数收益率*25%,沪深300指数收益率,75%,中证综合债券指数收益率,25%,nan,,nan,,nan,
11053,519714.OF,交银消费新驱动,股票型基金,普通股票型基金,中证内地消费主题指数*85%+中证综合债券指数*15%,中证内地消费主题指数,85%,中证综合债券指数,15%,nan,,nan,,nan,
11054,519717.OF,交银中高等级信用债,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数收益率*95%+人民币银行活期存款利率(税后)*5%,中债高信用等级债券财富指数收益率,95%,人民币银行活期存款利率(税后),5%,nan,,nan,,nan,
11055,519718.OF,交银纯债AB,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11056,519720.OF,交银纯债C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11057,519722.OF,交银裕惠纯债,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11058,519723.OF,交银双轮动AB,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11059,519725.OF,交银双轮动C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11060,519726.OF,交银稳固收益,债券型基金,混合债券型二级基金,三年期银行定期存款收益率(税后),三年期银行定期存款收益率(税后),,nan,,nan,,nan,,nan,
11061,519727.OF,交银成长30,混合型基金,偏股混合型基金,富时中国A600成长指数收益率*75%+中证综合债券指数收益率*25%,富时中国A600成长指数收益率,75%,中证综合债券指数收益率,25%,nan,,nan,,nan,
11062,519729.OF,交银增强收益,债券型基金,混合债券型二级基金,中证综合债券指数收益率*90%+沪深300指数收益率*10%,中证综合债券指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
11063,519730.OF,交银定期支付月月丰A,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
11064,519731.OF,交银定期支付月月丰C,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
11065,519732.OF,交银定期支付双息平衡,混合型基金,平衡混合型基金,中证红利指数收益率*50%+中债综合全价指数收益率*50%,中证红利指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11066,519733.OF,交银强化回报AB,债券型基金,混合债券型二级基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11067,519735.OF,交银强化回报C,债券型基金,混合债券型二级基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11068,519736.OF,交银新成长,混合型基金,偏股混合型基金,富时中国A600成长指数*75%+中证综合债券指数*25%,富时中国A600成长指数,75%,中证综合债券指数,25%,nan,,nan,,nan,
11069,519738.OF,交银周期回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11070,519740.OF,交银丰盈收益A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11071,519743.OF,交银丰润收益A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11072,519745.OF,交银丰润收益C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11073,519746.OF,交银丰享收益A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11074,519748.OF,交银丰享收益C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11075,519752.OF,交银新回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11076,519753.OF,交银安心收益,债券型基金,混合债券型二级基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11077,519755.OF,交银多策略回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11078,519756.OF,交银国企改革,混合型基金,灵活配置型基金,沪深300指数*60%+中证综合债券指数*40%,沪深300指数,60%,中证综合债券指数,40%,nan,,nan,,nan,
11079,519759.OF,交银周期回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11080,519760.OF,交银新回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11081,519761.OF,交银多策略回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11082,519762.OF,交银裕通纯债A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11083,519763.OF,交银裕通纯债C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11084,519766.OF,交银荣鑫,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11085,519767.OF,交银科技创新,混合型基金,灵活配置型基金,沪深300指数*60%+中证综合债券指数*40%,沪深300指数,60%,中证综合债券指数,40%,nan,,nan,,nan,
11086,519768.OF,交银优选回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11087,519769.OF,交银优选回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11088,519770.OF,交银优择回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11089,519771.OF,交银优择回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%,nan,,nan,,nan,
11090,519772.OF,交银新生活力,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11091,519773.OF,交银数据产业,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11092,519776.OF,交银裕盈纯债A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11093,519777.OF,交银裕盈纯债C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11094,519778.OF,交银经济新动力,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,
11095,519779.OF,交银沪港深价值精选,混合型基金,灵活配置型基金,沪深300指数收益率*40%+恒生指数收益率*40%+中证综合债券指数收益率*20%,沪深300指数收益率,40%,恒生指数收益率,40%,中证综合债券指数收益率,20%,nan,,nan,
11096,519782.OF,交银裕隆纯债A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11097,519783.OF,交银裕隆纯债C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11098,519784.OF,交银境尚收益A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11099,519785.OF,交银境尚收益C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,
11100,519786.OF,交银裕利纯债A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11101,519787.OF,交银裕利纯债C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,
11102,519800.OF,华夏保证金A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
11103,519801.OF,华夏保证金B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
11104,519808.OF,嘉实保证金理财A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
11105,519809.OF,嘉实保证金理财B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
11106,519858.OF,广发现金宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
11107,519859.OF,广发现金宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
11108,519878.OF,国寿安保场内申赎A,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,
11109,519879.OF,国寿安保场内申赎B,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,
11110,519888.OF,汇添富收益快线货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
11111,519889.OF,汇添富收益快线货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
11112,519898.OF,大成现金宝A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,
11113,519899.OF,大成现金宝B,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,
11114,519908.OF,华夏兴华A,混合型基金,灵活配置型基金,沪深300指数*70%+上证国债指数*30%,沪深300指数,70%,上证国债指数,30%,nan,,nan,,nan,
11115,519909.OF,华安安顺,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%,nan,,nan,,nan,
11116,519915.OF,富国消费主题A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
11117,519918.OF,华夏兴和,混合型基金,灵活配置型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%,nan,,nan,,nan,
11118,519929.OF,长信电子信息行业量化,混合型基金,灵活配置型基金,中证TMT产业主题指数收益率*60%+中证综合债指数收益率*40%,中证TMT产业主题指数收益率,60%,中证综合债指数收益率,40%,nan,,nan,,nan,
11119,519933.OF,长信利发,债券型基金,混合债券型二级基金,中证全债指数*90%+中证800指数*10%,中证全债指数,90%,中证800指数,10%,nan,,nan,,nan,
11120,519935.OF,长信创新驱动,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%,nan,,nan,,nan,
11121,519937.OF,长信先锐A,混合型基金,偏债混合型基金,中债综合指数收益率*70%+沪深300指数收益率*20%+恒生指数收益率*10%,中债综合指数收益率,70%,沪深300指数收益率,20%,恒生指数收益率,10%,nan,,nan,
11122,519940.OF,长信富全纯债一年C,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,
11123,519941.OF,长信富全纯债一年A,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,
11124,519942.OF,长信利率债C,债券型基金,中长期纯债型基金,中债国开行债券指数收益率*80%+银行一年期定存利率(税后)*20%,中债国开行债券指数收益率,80%,银行一年期定存利率(税后),20%,nan,,nan,,nan,
11125,519943.OF,长信利率债A,债券型基金,中长期纯债型基金,中债国开行债券指数收益率*80%+银行一年期定存利率(税后)*20%,中债国开行债券指数收益率,80%,银行一年期定存利率(税后),20%,nan,,nan,,nan,
11126,519944.OF,长信富安纯债半年C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,
11127,519945.OF,长信富安纯债半年A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,
11128,519947.OF,长信利保A,债券型基金,混合债券型二级基金,三年期银行定期存款利率(税后)+1.5%,三年期银行定期存款利率(税后),,1.5%,,nan,,nan,,nan,
11129,519949.OF,长信利信A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
11130,519951.OF,长信利泰A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
11131,519953.OF,长信富海纯债一年C,债券型基金,中长期纯债型基金,固定业绩基准7%,固定业绩基准7%,,nan,,nan,,nan,,nan,
11132,519955.OF,长信富民纯债一年C,债券型基金,中长期纯债型基金,固定业绩基准7%,固定业绩基准7%,,nan,,nan,,nan,,nan,
11133,519956.OF,长信睿进C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%,nan,,nan,,nan,
11134,519957.OF,长信睿进A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%,nan,,nan,,nan,
11135,519959.OF,长信多利,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,沪深300指数收益率,50%,中债综合指数收益率,40%,恒生指数收益率(使用估值汇率折算),10%,nan,,nan,
11136,519960.OF,长信利广C,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,,nan,,nan,,nan,
11137,519961.OF,长信利广A,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,,nan,,nan,,nan,
11138,519962.OF,长信利盈C,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,,nan,,nan,,nan,
11139,519963.OF,长信利盈A,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,,nan,,nan,,nan,
11140,519965.OF,长信量化多策略A,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%,nan,,nan,,nan,
11141,519967.OF,长信利富,债券型基金,混合债券型二级基金,三年期银行定期存款利率(税后)+1.5%,三年期银行定期存款利率(税后),,1.5%,,nan,,nan,,nan,
11142,519969.OF,长信新利,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%,nan,,nan,,nan,
11143,519971.OF,长信改革红利,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%,nan,,nan,,nan,
11144,519972.OF,长信纯债一年C,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)*1.3+1.1%,银行一年期定期存款利率(税后),1.3,1.1%,,nan,,nan,,nan,
11145,519973.OF,长信纯债一年A,债券型基金,中长期纯债型基金,银行一年期定期存款利率(税后)*1.3+1.1%,银行一年期定期存款利率(税后),1.3,1.1%,,nan,,nan,,nan,
11146,519975.OF,长信量化中小盘,股票型基金,普通股票型基金,中证700指数收益率*75%+中证综合债券指数收益率*25%,中证700指数收益率,75%,中证综合债券指数收益率,25%,nan,,nan,,nan,
11147,519976.OF,长信可转债C,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债指数收益率*20%+沪深300指数收益率*10%,中信标普可转债指数收益率,70%,中证综合债指数收益率,20%,沪深300指数收益率,10%,nan,,nan,
11148,519977.OF,长信可转债A,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债指数收益率*20%+沪深300指数收益率*10%,中信标普可转债指数收益率,70%,中证综合债指数收益率,20%,沪深300指数收益率,10%,nan,,nan,
11149,519979.OF,长信内需成长A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%,nan,,nan,,nan,
11150,519981.OF,长信标普100等权重指数增强,国际(QDII)基金,国际(QDII)股票型基金,标准普尔100等权重指数总收益率,标准普尔100等权重指数总收益率,,nan,,nan,,nan,,nan,
